Player Name,Total Value,Total Salary,FFS Valuation,FG Link,Position,W,W Salary,SO,SO Salary,ERA,ERA Salary,WHIP,WHIP Salary,SV,SV Salary,HLD,HLD Salary,Pitching Modifier,R,R Salary,HR,HR Salary,RBI,RBI Salary,SB,SB Salary,AVG,AVG Salary,OPS,OPS Salary
Trea Turner ,14.5,11.6,43.5,https://www.fangraphs.com/players/trea-turner/16252/stats?position=SS,,,,,,,,,,,,,,,107,2.5,28,2,77,1.5,32,3,0.328,3,0.911,2.5
Freddie Freeman ,13.5,10.8,40.5,https://www.fangraphs.com/players/freddie-freeman/5361/stats?position=1B,,,,,,,,,,,,,,,120,3,31,2.5,83,2,8,1,0.3,2.5,0.896,2.5
Robbie Ray ,13.15035,10.52,39.45105,https://www.fangraphs.com/players/robbie-ray/11486/stats?position=P,SP,13,3,248,4.35015,2.84,2.9001,1.05,2.9001,0,0,0,0,0.9667,,,,,,,,,,,,
Julio Urías ,12.85515,10.28,38.56545,https://www.fangraphs.com/players/julio-urias/14765/stats?position=P,SP,20,4.5,195,2.78505,2.96,2.78505,1.02,2.78505,0,0,0,0,0.92835,,,,,,,,,,,,
Brandon Crawford ,11.5,9.2,34.5,https://www.fangraphs.com/players/brandon-crawford/5343/stats?position=SS,,,,,,,,,,,,,,,79,1.5,24,1.5,90,2.5,11,1,0.298,2.5,0.895,2.5
Adam Wainwright ,11.463975,9.17,34.391925,https://www.fangraphs.com/players/adam-wainwright/2233/stats?position=P,SP,17,4.5,174,2.321325,3.06,2.321325,1.06,2.321325,0,0,0,0,1.0317,,,,,,,,,,,,
Charlie Morton ,11.4088875,9.13,34.2266625,https://www.fangraphs.com/players/charlie-morton/4676/stats?position=P,SP,14,3.75,216,3.4813125,3.35,1.392525,1.05,2.78505,0,0,0,0,0.92835,,,,,,,,,,,,
J.D. Martinez ,11,8.8,33,https://www.fangraphs.com/players/jd-martinez/6184/stats?position=DH/OF,,,,,,,,,,,,,,,92,2.5,28,2,99,2.5,0,0,0.286,2,0.867,2
Salvador Perez ,11,8.8,33,https://www.fangraphs.com/players/salvador-perez/7304/stats?position=C,,,,,,,,,,,,,,,88,2,48,3,121,3,1,0,0.273,1,0.859,2
Jorge Polanco ,11,8.8,33,https://www.fangraphs.com/players/jorge-polanco/13152/stats?position=SS,,,,,,,,,,,,,,,97,2.5,33,2.5,98,2.5,11,1,0.269,1,0.826,1.5
Starling Marte ,9.5,7.6,28.5,https://www.fangraphs.com/players/starling-marte/9241/stats?position=OF,,,,,,,,,,,,,,,89,2,12,0,55,0.5,47,3,0.308,2.5,0.837,1.5
José Berríos ,9.45,7.56,28.35,https://www.fangraphs.com/players/jose-berrios/14168/stats?position=P,SP,12,2.25,204,3.6,3.52,1.44,1.06,2.16,0,0,0,0,0.96,,,,,,,,,,,,
Trevor Story ,9,7.2,27,https://www.fangraphs.com/players/trevor-story/12564/stats?position=SS,,,,,,,,,,,,,,,88,2,24,1.5,75,1.5,20,2.5,0.251,0.5,0.801,1
Joe Musgrove ,8.980275,7.18,26.940825,https://www.fangraphs.com/players/joe-musgrove/12970/stats?position=P,SP,11,1.5,203,3.400125,3.18,2.040075,1.08,2.040075,0,0,0,0,0.9067,,,,,,,,,,,,
Yuli Gurriel ,8.5,6.8,25.5,https://www.fangraphs.com/players/yuli-gurriel/19198/stats?position=1B,,,,,,,,,,,,,,,83,2,15,0.5,81,2,1,0,0.319,2.5,0.846,1.5
Raisel Iglesias ,8.4,6.72,25.2,https://www.fangraphs.com/players/raisel-iglesias/17130/stats?position=P,RP,7,0.75,103,1.3125,2.57,0.7875,0.93,1.05,34,4.5,0,0,0.35,,,,,,,,,,,,
Anthony DeSclafani ,8.0301,6.42,24.0903,https://www.fangraphs.com/players/anthony-desclafani/13050/stats?position=P,SP,13,3,152,1.257525,3.18,1.8862875,1.09,1.8862875,0,0,0,0,0.83835,,,,,,,,,,,,
Brandon Belt ,8,6.4,24,https://www.fangraphs.com/players/brandon-belt/10264/stats?position=1B,,,,,,,,,,,,,,,65,1,29,2,59,1,3,0,0.274,1,0.975,3
Adam Duvall ,8,6.4,24,https://www.fangraphs.com/players/adam-duvall/10950/stats?position=OF,,,,,,,,,,,,,,,67,1,38,2.5,113,3,5,0.5,0.228,0,0.772,1
Lance McCullers Jr. ,7.8702,6.3,23.6106,https://www.fangraphs.com/players/lance-mccullers-jr/14120/stats?position=P,SP,13,3,185,2.4351,3.16,1.826325,1.22,0.608775,0,0,0,0,0.8117,,,,,,,,,,,,
Eduardo Escobar ,7.5,6,22.5,https://www.fangraphs.com/players/eduardo-escobar/6153/stats?position=3B/SS,,,,,,,,,,,,,,,77,1.5,28,2,90,2.5,1,0,0.253,0.5,0.786,1
Byron Buxton ,7.5,6,22.5,https://www.fangraphs.com/players/byron-buxton/14161/stats?position=OF,,,,,,,,,,,,,,,50,0,19,1,32,0,9,1,0.306,2.5,1.005,3
Lance Lynn ,7.3875,5.91,22.1625,https://www.fangraphs.com/players/lance-lynn/2520/stats?position=P,SP,11,1.5,176,1.76625,2.69,2.355,1.07,1.76625,0,0,0,0,0.785,,,,,,,,,,,,
Kenley Jansen ,7.0875,5.67,21.2625,https://www.fangraphs.com/players/kenley-jansen/3096/stats?position=P,RP,4,0,86,0.77625,2.22,1.035,1.04,0.77625,38,4.5,0,0,0.345,,,,,,,,,,,,
Chris Bassitt ,6.9702,5.58,20.9106,https://www.fangraphs.com/players/chris-bassitt/12304/stats?position=P,SP,12,2.25,159,1.18005,3.15,1.770075,1.06,1.770075,0,0,0,0,0.7867,,,,,,,,,,,,
Corey Seager ,6.5,5.2,19.5,https://www.fangraphs.com/players/corey-seager/13624/stats?position=SS,,,,,,,,,,,,,,,54,0.5,16,0.5,57,0.5,1,0,0.306,2.5,0.915,2.5
Yu Darvish ,6.363975,5.09,19.091925,https://www.fangraphs.com/players/yu-darvish/13074/stats?position=P,SP,8,0.75,199,3.118875,4.23,0.623775,1.1,1.871325,0,0,0,0,0.8317,,,,,,,,,,,,
Hyun Jin Ryu 류현진,6.285,5.03,18.855,https://www.fangraphs.com/players/hyun-jin-ryu/14444/stats?position=P,SP,14,3.75,143,1.2675,4.37,0.63375,1.22,0.63375,0,0,0,0,0.845,,,,,,,,,,,,
Sean Manaea ,6.207675,4.97,18.623025,https://www.fangraphs.com/players/sean-manaea/15873/stats?position=P,SP,11,1.5,194,2.6901,3.92,1.34505,1.23,0.672525,0,0,0,0,0.8967,,,,,,,,,,,,
Steven Matz ,6.01005,4.81,18.03015,https://www.fangraphs.com/players/steven-matz/13361/stats?position=P,SP,14,3.75,144,1.130025,3.83,1.130025,1.34,0,0,0,0,0,0.75335,,,,,,,,,,,,
Josh Donaldson ,6,4.8,18,https://www.fangraphs.com/players/josh-donaldson/5038/stats?position=3B,,,,,,,,,,,,,,,73,1,26,1.5,72,1.5,0,0,0.247,0.5,0.827,1.5
Edwin Díaz ,5.910075,4.73,17.730225,https://www.fangraphs.com/players/edwin-diaz/14710/stats?position=P,RP,5,0,89,0.7050375,3.47,0.2350125,1.06,0.470025,32,4.5,0,0,0.31335,,,,,,,,,,,,
Aroldis Chapman ,5.76765,4.61,17.30295,https://www.fangraphs.com/players/aroldis-chapman/10233/stats?position=P,RP,6,0,97,1.056375,3.37,0.211275,1.32,0,30,4.5,1,0,0.2817,,,,,,,,,,,,
Mark Melancon ,5.7125625,4.57,17.1376875,https://www.fangraphs.com/players/mark-melancon/4264/stats?position=P,RP,4,0,59,0,2.24,0.97005,1.23,0.2425125,39,4.5,0,0,0.32335,,,,,,,,,,,,
Kolten Wong ,5.5,4.4,16.5,https://www.fangraphs.com/players/kolten-wong/12532/stats?position=2B,,,,,,,,,,,,,,,70,1,14,0.5,50,0.5,12,1.5,0.272,1,0.783,1
Yusmeiro Petit ,5.3775,4.3,16.1325,https://www.fangraphs.com/players/yusmeiro-petit/4020/stats?position=P,RP,8,0.75,37,0,3.92,0,1.04,0.8775,2,0,22,3.75,0.39,,,,,,,,,,,,
Eduardo Rodriguez ,5.36505,4.29,16.09515,https://www.fangraphs.com/players/eduardo-rodriguez/13164/stats?position=P,SP,13,3,185,2.36505,4.75,0,1.39,0,0,0,0,0,0.78835,,,,,,,,,,,,
Anthony Rizzo ,5,4,15,https://www.fangraphs.com/players/anthony-rizzo/3473/stats?position=1B,,,,,,,,,,,,,,,73,1,22,1,61,1,6,0.5,0.248,0.5,0.783,1
Jorge Soler ,5,4,15,https://www.fangraphs.com/players/jorge-soler/14221/stats?position=DH/OF,,,,,,,,,,,,,,,74,1.5,27,2,70,1,0,0,0.223,0,0.749,0.5
Kyle Gibson ,4.9125,3.93,14.7375,https://www.fangraphs.com/players/kyle-gibson/10123/stats?position=P,SP,10,1.5,155,1.365,3.71,1.365,1.22,0.6825,0,0,0,0,0.91,,,,,,,,,,,,
Tony Watson ,4.395075,3.52,13.185225,https://www.fangraphs.com/players/tony-watson/3132/stats?position=P,RP,7,0.75,44,0,3.94,0,1.02,0.645075,0,0,19,3,0.2867,,,,,,,,,,,,
Rich Hill ,4.320075,3.46,12.960225,https://www.fangraphs.com/players/rich-hill/4806/stats?position=P,SP,7,0.75,150,1.190025,3.87,1.190025,1.21,1.190025,0,0,0,0,0.79335,,,,,,,,,,,,
Hansel Robles ,4.2675,3.41,12.8025,https://www.fangraphs.com/players/hansel-robles/11801/stats?position=P,RP,3,0,76,0.5175,4.43,0,1.38,0,14,1.5,17,2.25,0.345,,,,,,,,,,,,
Daniel Bard ,4.242525,3.39,12.727575,https://www.fangraphs.com/players/daniel-bard/7115/stats?position=P,RP,7,0.75,80,0.492525,5.25,0,1.61,0,20,3,4,0,0.32835,,,,,,,,,,,,
Kendall Graveman ,4.14,3.31,12.42,https://www.fangraphs.com/players/kendall-graveman/15514/stats?position=P,RP,5,0,61,0,1.77,1.05,0.98,0.84,10,1.5,11,0.75,0.28,,,,,,,,,,,,
Darin Ruf 러프,4,3.2,12,https://www.fangraphs.com/players/darin-ruf/9929/stats?position=1B/OF,,,,,,,,,,,,,,,41,0,16,0.5,43,0,2,0,0.271,1,0.904,2.5
Willson Contreras ,4,3.2,12,https://www.fangraphs.com/players/willson-contreras/11609/stats?position=C,,,,,,,,,,,,,,,61,1,21,1,57,0.5,5,0.5,0.237,0,0.778,1
Héctor Neris ,3.92265,3.14,11.76795,https://www.fangraphs.com/players/hector-neris/11804/stats?position=P,RP,4,0,98,1.393875,3.64,0,1.17,0.278775,12,1.5,11,0.75,0.3717,,,,,,,,,,,,
DJ LeMahieu ,3.5,2.8,10.5,https://www.fangraphs.com/players/dj-lemahieu/9874/stats?position=2B,,,,,,,,,,,,,,,84,2,10,0,57,0.5,4,0,0.268,1,0.711,0
Zack Greinke ,3.42375,2.74,10.27125,https://www.fangraphs.com/players/zack-greinke/1943/stats?position=P,SP,11,1.5,120,0,4.16,0.64125,1.17,1.2825,0,0,1,0,0.855,,,,,,,,,,,,
Steve Cishek ,3.256275,2.61,9.768825,https://www.fangraphs.com/players/steve-cishek/6483/stats?position=P,RP,0,0,64,0,3.44,0.256275,1.5,0,0,0,21,3,0.3417,,,,,,,,,,,,
Lorenzo Cain ,3,2.4,9,https://www.fangraphs.com/players/lorenzo-cain/9077/stats?position=OF,,,,,,,,,,,,,,,40,0,8,0,36,0,13,2,0.257,1,0.729,0
Alcides Escobar ,3,2.4,9,https://www.fangraphs.com/players/alcides-escobar/6310/stats?position=SS,,,,,,,,,,,,,,,53,0.5,4,0,28,0,3,0,0.288,2,0.744,0.5
Brad Miller ,3,2.4,9,https://www.fangraphs.com/players/brad-miller/12775/stats?position=SS,,,,,,,,,,,,,,,53,0.5,20,1,49,0.5,3,0,0.227,0,0.774,1
Eric Hosmer ,3,2.4,9,https://www.fangraphs.com/players/eric-hosmer/3516/stats?position=1B,,,,,,,,,,,,,,,53,0.5,12,0,65,1,5,0.5,0.269,1,0.732,0
Brad Hand ,3,2.4,9,https://www.fangraphs.com/players/brad-hand/9111/stats?position=P,RP,6,0,61,0,3.93,0,1.28,0,21,3,3,0,0.32335,,,,,,,,,,,,
Michael A. Taylor ,3,2.4,9,https://www.fangraphs.com/players/michael-a-taylor/11489/stats?position=OF,,,,,,,,,,,,,,,58,0.5,12,0,54,0.5,14,2,0.244,0,0.653,0
Alex Bregman ,3,2.4,9,https://www.fangraphs.com/players/alex-bregman/17678/stats?position=3B,,,,,,,,,,,,,,,54,0.5,12,0,55,0.5,1,0,0.27,1,0.777,1
Michael Pineda ,2.730075,2.18,8.190225,https://www.fangraphs.com/players/michael-pineda/5372/stats?position=P,SP,9,1.5,88,0,3.63,0.82005,1.24,0.410025,0,0,0,0,0.5467,,,,,,,,,,,,
Trevor May ,2.720025,2.18,8.160075,https://www.fangraphs.com/players/trevor-may/6398/stats?position=P,RP,7,0.75,83,0.470025,3.62,0,1.27,0,4,0,16,1.5,0.31335,,,,,,,,,,,,
Blake Snell ,2.68005,2.14,8.04015,https://www.fangraphs.com/players/blake-snell/13543/stats?position=P,SP,7,0.75,170,1.4475375,4.21,0.4825125,1.33,0,0,0,0,0,0.64335,,,,,,,,,,,,
Jed Lowrie ,2.5,2,7.5,https://www.fangraphs.com/players/jed-lowrie/4418/stats?position=2B/SS,,,,,,,,,,,,,,,55,0.5,14,0.5,69,1,0,0,0.245,0.5,0.717,0
José Iglesias ,2.5,2,7.5,https://www.fangraphs.com/players/jose-iglesias/10231/stats?position=SS,,,,,,,,,,,,,,,65,1,9,0,48,0,5,0.5,0.271,1,0.701,0
Kevin Plawecki ,2.5,2,7.5,https://www.fangraphs.com/players/kevin-plawecki/13807/stats?position=C,,,,,,,,,,,,,,,15,0,3,0,15,0,0,0,0.287,2,0.737,0.5
Odúbel Herrera ,2.5,2,7.5,https://www.fangraphs.com/players/odubel-herrera/11476/stats?position=OF,,,,,,,,,,,,,,,59,0.5,13,0,51,0.5,6,0.5,0.26,1,0.726,0
Yimi García ,2.4662625,1.97,7.3987875,https://www.fangraphs.com/players/yimi-garcia/12095/stats?position=P,RP,4,0,60,0,4.25,0,1.17,0.2162625,15,2.25,4,0,0.28835,,,,,,,,,,,,
Collin McHugh ,2.4,1.92,7.2,https://www.fangraphs.com/players/collin-mchugh/7531/stats?position=P,RP,6,0,74,0.24,1.55,1.2,0.94,0.96,1,0,6,0,0.32,,,,,,,,,,,,
Craig Stammen ,2.318925,1.86,6.956775,https://www.fangraphs.com/players/craig-stammen/7274/stats?position=P,RP,6,0,83,0.66255,3.06,0.66255,1.04,0.993825,1,0,7,0,0.4417,,,,,,,,,,,,
Jhoulys Chacín ,2.25,1.8,6.75,https://www.fangraphs.com/players/jhoulys-chacin/2608/stats?position=P,RP,3,0,47,0,4.35,0,1.26,0,0,0,17,2.25,0.3217,,,,,,,,,,,,
Archie Bradley ,2.25,1.8,6.75,https://www.fangraphs.com/players/archie-bradley/12918/stats?position=P,RP,7,0.75,40,0,3.71,0,1.43,0,2,0,13,1.5,0.255,,,,,,,,,,,,
J.A. Happ ,2.071275,1.66,6.213825,https://www.fangraphs.com/players/ja-happ/7410/stats?position=P,SP,10,1.5,122,0.571275,5.8,0,1.48,0,0,0,0,0,0.7617,,,,,,,,,,,,
Donovan Solano ,2,1.6,6,https://www.fangraphs.com/players/donovan-solano/8623/stats?position=2B,,,,,,,,,,,,,,,35,0,7,0,31,0,2,0,0.28,1.5,0.748,0.5
Corey Dickerson ,2,1.6,6,https://www.fangraphs.com/players/corey-dickerson/10762/stats?position=OF,,,,,,,,,,,,,,,43,0,6,0,29,0,6,0.5,0.271,1,0.734,0.5
Gary Sánchez ,2,1.6,6,https://www.fangraphs.com/players/gary-sanchez/11442/stats?position=C,,,,,,,,,,,,,,,54,0.5,23,1,54,0.5,0,0,0.204,0,0.73,0
Jon Gray ,1.8675,1.49,5.6025,https://www.fangraphs.com/players/jon-gray/14916/stats?position=P,SP,8,0.75,157,1.1175,4.59,0,1.33,0,0,0,0,0,0.745,,,,,,,,,,,,
Andrew Heaney ,1.722525,1.38,5.167575,https://www.fangraphs.com/players/andrew-heaney/15423/stats?position=P,SP,8,0.75,150,0.972525,5.85,0,1.32,0,0,0,0,0,0.64835,,,,,,,,,,,,
Mychal Givens ,1.69125,1.35,5.07375,https://www.fangraphs.com/players/mychal-givens/10430/stats?position=P,RP,4,0,54,0,3.35,0.19125,1.37,0,8,0.75,11,0.75,0.255,,,,,,,,,,,,
Seth Lugo ,1.673775,1.34,5.021325,https://www.fangraphs.com/players/seth-lugo/12447/stats?position=P,RP,4,0,55,0,3.51,0.173775,1.3,0,1,0,13,1.5,0.2317,,,,,,,,,,,,
John Gant ,1.65,1.32,4.95,https://www.fangraphs.com/players/john-gant/13684/stats?position=P,RP,5,0,92,1.65,4.09,0,1.51,0,0,0,2,0,0.55,,,,,,,,,,,,
Yadier Molina ,1.5,1.2,4.5,https://www.fangraphs.com/players/yadier-molina/7007/stats?position=C,,,,,,,,,,,,,,,45,0,11,0,66,1,3,0,0.252,0.5,0.667,0
Yan Gomes ,1.5,1.2,4.5,https://www.fangraphs.com/players/yan-gomes/9627/stats?position=C,,,,,,,,,,,,,,,49,0,14,0.5,52,0.5,0,0,0.252,0.5,0.723,0
Drew Smyly ,1.5,1.2,4.5,https://www.fangraphs.com/players/drew-smyly/11760/stats?position=P,SP,11,1.5,117,0,4.49,0,1.38,0,0,0,0,0,0.63335,,,,,,,,,,,,
Starlin Castro ,1.5,1.2,4.5,https://www.fangraphs.com/players/starlin-castro/4579/stats?position=2B/SS,,,,,,,,,,,,,,,25,0,3,0,38,0,0,0,0.283,1.5,0.708,0
Jace Peterson ,1.5,1.2,4.5,https://www.fangraphs.com/players/jace-peterson/12325/stats?position=2B,,,,,,,,,,,,,,,36,0,6,0,31,0,10,1,0.247,0.5,0.714,0
